id,headshot,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCountry,firstName.default,lastName.default,birthCity.default,birthStateProvince.default,birthCity.cs,birthCity.de,birthCity.fi,birthCity.fr,birthCity.sk,birthCity.sv,lastName.cs,lastName.sk,headingPosition,fullName,season,team_abbr,lastName.sv,firstName.cs,firstName.sk,lastName.de,lastName.es,lastName.fi,firstName.fi,lastName.fr,firstName.de,firstName.es,firstName.sv,firstName.fr,fullName.1,fullName.2,fullName.3,fullName.4,fullName.5,fullName.6
8465025,https://assets.nhle.com/mugs/nhl/20072008/NJD/8465025.png,22.0,R,R,71,210,180,95,1978-04-13,CAN,Arron,Asham,Portage la Prairie,MB,,,,,,,,,F,ARRON ASHAM,20072008,NJD,,,,,,,,,,,,,,,,,,
8471697,https://assets.nhle.com/mugs/nhl/20072008/NJD/8471697.png,18.0,R,R,70,194,178,88,1987-03-07,SWE,Niclas,Bergfors,Sodertalje,,Södertälje,Södertälje,Södertälje,Södertälje,Södertälje,Södertälje,,,F,NICLAS BERGFORS,20072008,NJD,,,,,,,,,,,,,,,,,,
8458978,https://assets.nhle.com/mugs/nhl/20072008/NJD/8458978.png,18.0,C,L,70,190,178,86,1974-01-13,RUS,Sergei,Brylin,Moscow,,Moskva,Moskau,Moskova,Moscou,Moskva,Moskva,,,F,SERGEI BRYLIN,20072008,NJD,,,,,,,,,,,,,,,,,,
8468123,https://assets.nhle.com/mugs/nhl/20072008/NJD/8468123.png,12.0,L,L,69,190,175,86,1979-06-11,USA,Noah,Clarke,La Verne,CA,,,,,,,,,F,NOAH CLARKE,20072008,NJD,,,,,,,,,,,,,,,,,,
8470920,https://assets.nhle.com/mugs/nhl/20072008/NJD/8470920.png,23.0,R,R,72,207,183,94,1984-03-31,CAN,David,Clarkson,Toronto,ON,,,,,,,,,F,DAVID CLARKSON,20072008,NJD,,,,,,,,,,,,,,,,,,
8460542,https://assets.nhle.com/mugs/nhl/20072008/NJD/8460542.png,26.0,C,L,73,190,185,86,1976-04-13,CZE,Patrik,Elias,Trebic,,Třebíč,,Třebíč ,,Třebíč,,Eliáš,Eliáš,F,PATRIK ELIAS,20072008,NJD,,,,,,,,,,,,,,,,,,
8467407,https://assets.nhle.com/mugs/nhl/20072008/NJD/8467407.png,14.0,R,R,67,178,170,81,1979-01-18,USA,Brian,Gionta,Rochester,NY,,,,,,,,,F,BRIAN GIONTA,20072008,NJD,,,,,,,,,,,,,,,,,,
8459457,https://assets.nhle.com/mugs/nhl/20072008/NJD/8459457.png,15.0,R,R,73,205,185,93,1975-07-24,USA,Jamie,Langenbrunner,Cloquet,MN,,,,,,,,,F,JAMIE LANGENBRUNNER,20072008,NJD,,,,,,,,,,,,,,,,,,
8466371,https://assets.nhle.com/mugs/nhl/20072008/NJD/8466371.png,11.0,C,L,71,190,180,86,1973-05-04,CAN,John,Madden,Toronto,ON,,,,,,,,,F,JOHN MADDEN,20072008,NJD,,,,,,,,,,,,,,,,,,
8459454,https://assets.nhle.com/mugs/nhl/20072008/NJD/8459454.png,20.0,L,L,73,190,185,86,1974-12-27,USA,Jay,Pandolfo,Winchester,MA,,,,,,,,,F,JAY PANDOLFO,20072008,NJD,,,,,,,,,,,,,,,,,,
8470610,https://assets.nhle.com/mugs/nhl/20072008/NJD/8470610.png,9.0,L,L,71,195,180,88,1984-07-28,USA,Zach,Parise,Minneapolis,MN,,,,,,,,,F,ZACH PARISE,20072008,NJD,,,,,,,,,,,,,,,,,,
8472355,https://assets.nhle.com/mugs/nhl/20072008/NJD/8472355.png,10.0,C,L,72,205,183,93,1984-09-01,CAN,Rod,Pelley,Kitimat,BC,,,,,,,,,F,ROD PELLEY,20072008,NJD,,,,,,,,,,,,,,,,,,
8467336,https://assets.nhle.com/mugs/nhl/20072008/NJD/8467336.png,17.0,C,L,77,235,196,107,1980-01-13,USA,Mike,Rupp,Cleveland,OH,,,,,,,,,F,MIKE RUPP,20072008,NJD,,,,,,,,,,,,,,,,,,
8470199,https://assets.nhle.com/mugs/nhl/20072008/NJD/8470199.png,21.0,R,R,77,215,196,98,1983-04-14,USA,Barry,Tallackson,Grafton,ND,,,,,,,,,F,BARRY TALLACKSON,20072008,NJD,,,,,,,,,,,,,,,,,,
