Name,Team,Logo,Location,Full Team Name,Division,Primary Color,Secondary Color,P2,S2,P3,S3
Ducks,ANA,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/ANA.png,Anaheim,Anaheim Ducks,Pacific,#F47A38,#B9975B,#FF9860,#C8B07E,#FFB688,#D7C9A1
Coyotes,ARI,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/ARI.png,Arizona,Arizona Coyotes,Central,#8C2633,#E2D6B5,#A0445B,#F1EFD8,#B46283,#FFFFFF
Thrashers,ATL,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/ATL.png,Atlanta,Atlanta Thrashers,Southeast,#5C88DA,#FFA300,#70A6FF,#FFBC23,#84C4127,#FFD546
Bruins,BOS,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/BOS.png,Boston,Boston Bruins,Atlantic,#FFB81C,#FFFFFF,#FFD644,#D7D7D7,#FFF46C,#AFAFAF
Sabres,BUF,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/BUF.png,Buffalo,Buffalo Sabres,Atlantic,#003087,#FFB81C,#144EAF,#FFD13F,#286CD7,#FFEA62
Hurricanes,CAR,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/CAR.png,Carolina,Carolina Hurricanes,Metropolitan,#CE1126,#A4A9AD,#E22F4E,#B3C2D0,#F64D76,#C2DBF3
Blue Jackets,CBJ,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/CBJ.png,Columbus,Columbus Blue Jackets,Metropolitan,#002654,#CE1126,#14447C,#DD2A49,#2862A4,#EC436C
Flames,CGY,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/CGY.png,Calgary,Calgary Flames,Pacific,#D2001C,#FAAF19,#E61E44,#FFC83C,#FA3C6C,#FFE15F
Blackhawks,CHI,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/CHI.png,Chicago,Chicago Blackhawks,Central,#CF0A2C,#FFFFFF,#E32854,#D7D7D7,#F7467C,#AFAFAF
Avalanche,COL,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/COL.png,Colorado,Colorado Avalanche,Central,#6F263D,#236192,#834465,#327AB5,#97628D,#4193D8
Stars,DAL,https://raw.githubusercontent.com/owensingh38/nhllogos/refs/heads/main/DAL.png,Dallas,Dallas Stars,Central,#006847,#8F8F8C,#14866F,#9EA8AF,#28A497,#ADC1D2
